code,species,laboratory_species,Penicillin,Ceftriaxone,Vancomycin,Piperacillin-Tazobactam,Ciprofloxacin,Cefepime,Cotrimoxazole,Meropenem,Moxifloxacin,Amoxicillin-Clavulanic acid,Colistin,Tobramycin,Ceftazidime,Ceftolozane-Tazobactam,Ceftazidime-Avibactam,Ceftobiprole,Quinolones,Tigecycline,Levofloxacin,Fosfomycin,Amikacin,Imipenem,Minocycline,Gentamicin,Ceftarolin,Ampicillin-Sulbactam,Gentamicin_high_level,Aztreonam,Clindamycin,Amoxicillin,Metronidazole,Daptomycin,Ampicillin-Amoxicillin,Caspofungin,Voriconazole,Posaconazole,Amphotericin B,Itraconazole,Fluconazole,Erythromycin,Doxycycline,Isavuconazole,Anidulafungin,5-Fluorocytosine,Micafungin,Tetracycline,Azithromycin,Ertapenem,Fosfomycin-Trometamol,Norfloxacin,Cefpodoxime,Nitrofurantoin,Aminoglycosides,Chloramphenicol,Rifampicin_1mg-l,Rifampicin,Linezolid,Amoxicillin-Clavulanic acid_uncomplicated_HWI,Strepomycin_high_level,Teicoplanin,Cefuroxime,Penicillin_with_endokarditis,Penicillin_without_endokarditis,Meropenem_with_meningitis,Meropenem_without_meningitis,Cefazolin,Oxacillin,Fusidic acid,Streptomycin,Isoniazid_.1mg-l,Pyrazinamide,Ethambutol_5mg-l,Cefixime,Mupirocin,Vancomycin_GRD,Teicoplanin_GRD,Cefoxitin_screen,Penicillin_with_meningitis,Clarithromycin,Penicillin_with_other_infections,Penicillin_with_pneumonia,Meropenem_with_pneumonia
d0404066-00ee-4cd0-bd36-76508f55b9ff_MALDI1,Bacillus vallismortis,Bacillus species nicht B. cereus-Gruppe,S,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d7171f5c-cd21-4a6c-b615-f0126ebdcee5_MALDI1,Bacillus vallismortis,Bacillus species nicht B. cereus-Gruppe,S,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ebd503db-4075-4d4c-abdd-f9863272341f_MALDI1,Enterococcus faecium,Enterococcus faecium,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,-,-,R,-,-,-,-,R,-,-,-,-,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bef564cd-ff5a-47df-9e76-594740833dad_MALDI1,Enterococcus faecium,Enterococcus faecium,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,-,-,R,-,-,-,-,R,-,-,-,-,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11b8a987-04e9-42be-a933-7dbcb3da84aa_MALDI1,Escherichia coli,Escherichia coli,-,S,-,S,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
061198ba-034c-4d44-974a-ca70f335aecf_MALDI1,Klebsiella pneumoniae,Klebsiella pneumoniae,-,R,-,S,S,R,S,S,-,R,S,S,I,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a48f0433-dcb8-4167-9b52-b7fae3354bda_MALDI1,Staphylococcus aureus,Staphylococcus aureus,S,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,S,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
9cc863cd-f4f9-4e44-a7ae-b1d7a6506822_MALDI1,Staphylococcus lugdunensis,Staphylococcus lugdunensis,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ac97def1-45ae-4f5c-bedf-2e470af29682_MALDI1,Staphylococcus aureus,Staphylococcus aureus,S,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,S,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
455bbd57-0ca7-4eda-a095-98c1d6204b85_MALDI1,Enterobacter cloacae,Enterobacter cloacae-Gruppe,-,S,-,S,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41983d62-9e5f-4aff-bda5-2737a0c8c73d_MALDI1,Enterobacter cancerogenus,Enterobacter cloacae-Gruppe,-,S,-,S,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5e5b7e44-0995-44de-90f5-69ddfeae5d3f_MALDI1,Staphylococcus lugdunensis,Staphylococcus lugdunensis,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d8ad07e0-c646-48a6-b901-cda98e8f7e67_MALDI1,Escherichia coli,Escherichia coli,-,R,-,S,S,-,S,S,-,S,S,I,R,-,-,-,-,-,S,-,R,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,R,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
f87c5214-142b-471f-aa52-6cddb95f5e07_MALDI1,Enterococcus faecalis,Enterococcus faecalis,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6ac266e5-211e-477c-bff4-440a7d077add_MALDI1,Enterococcus faecalis,Enterococcus faecalis,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e6c0298b-8243-4dfe-957b-f4c7717b3caf_MALDI1,Staphylococcus epidermidis,Staphylococcus epidermidis,R,S,S,S,R,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80764e2b-0c3c-4c69-8cdc-c2e9c81dcb86_MALDI1,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,R,S,S,-,R,-,-,S,S,R,-,-,-,-,-,S,-,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3c8b3936-f0f8-4ac5-9c16-941e3a95bb4f_MALDI1,Klebsiella pneumoniae,Klebsiella pneumoniae,-,S,-,S,S,S,R,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
b4f0f791-3025-46d5-b258-2ee2aeaf7414_MALDI1,Enterococcus faecalis,Enterococcus faecalis,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157db6a6-89ca-45c3-9192-08174fd82766_MALDI1,Enterococcus faecalis,Enterococcus faecalis,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6327458a-8433-4522-a840-6a9dada2190b_MALDI1,Staphylococcus epidermidis,Staphylococcus epidermidis,R,S,S,S,R,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5c2900a6-68c6-4611-95c2-8bcfe2d7c76e_MALDI1,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,R,S,S,-,R,-,-,S,S,R,-,-,-,-,-,S,-,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0ff09c29-e15f-4b37-9e8b-3c6cb47e727b_MALDI1,Staphylococcus epidermidis,Staphylococcus epidermidis,R,S,S,S,R,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6d4f6330-495d-410c-9eac-6b49e4670a1f_MALDI1,Staphylococcus aureus,Staphylococcus aureus,S,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,S,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
131951d8-3626-44f1-82f5-f0932378ce75_MALDI1,Staphylococcus epidermidis,Staphylococcus epidermidis,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,R,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,S,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6dad3199-356f-41ba-968d-3786d1ac3e8c_MALDI1,Enterobacter cloacae,Enterobacter cloacae-Gruppe,-,S,-,S,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
b0dbe191-3972-4416-bf18-6c85ba3b625d_MALDI1,Campylobacter jejuni,Campylobacter jejuni,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8d908d58-bd45-4151-b02f-d558a5345928_MALDI1,Campylobacter jejuni,Campylobacter jejuni,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4af3c53c-05dc-4b51-b0c9-362dd5dd69ba_MALDI1,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a528ea82-7420-454e-a2e5-c430e83e79e2_MALDI1,Staphylococcus aureus,Staphylococcus aureus,S,S,S,S,S,S,R,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,S,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
8d6e1336-8b0a-47e0-a52b-af0dc2894732_MALDI1,Dermabacter hominis,Dermabacter hominis,S,S,S,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1effcfea-8429-41de-aced-2ddb549b02d5_MALDI1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41d417ed-c4a9-425c-8aee-402159f108b5_MALDI1,Enterobacter cloacae,Enterobacter cloacae-Gruppe,-,R,-,R,S,S,S,S,-,R,S,S,R,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15982ec2-2598-452a-bf57-b1b464424af2_MALDI1,Staphylococcus aureus,Staphylococcus aureus,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
65c16b49-5295-4cf3-ab85-073f1ef3cd31_MALDI1,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0f0d8986-b23f-4383-b0d2-9cfe70989db7_MALDI1,Staphylococcus epidermidis,Staphylococcus epidermidis,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7e856ee1-3c21-4683-8aaf-98c830e63a8a_MALDI1,Proteus mirabilis,Proteus mirabilis,-,S,-,S,S,S,R,S,-,S,R,S,S,-,-,-,-,-,S,-,S,I,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1780dadd-ccb3-4a1c-b2d1-16f194172cc1_MALDI1,Klebsiella pneumoniae,Klebsiella pneumoniae,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
f5e9ad58-772e-4267-bf8e-5eae6136f2d0_MALDI1,Klebsiella pneumoniae,Klebsiella pneumoniae,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5e903918-8aa5-4c3a-bac7-4ab119903741_MALDI1,Klebsiella oxytoca,Klebsiella oxytoca,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8246ec8a-b0d0-41e1-abaf-3e74ac41a0e1_MALDI1,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a59845c0-e97d-46df-bf80-a075dbaf5e09_MALDI1,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
f27947e5-aa2d-4e84-bd7f-e43b19b8175f_MALDI1,Dermabacter hominis,Dermabacter hominis,S,S,S,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1be9f065-c8fe-4ffa-b253-c10f797eb711_MALDI1,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c100f7f3-38ed-4d82-961a-21e0874d12ae_MALDI1,Staphylococcus aureus,Staphylococcus aureus,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
5715e7ea-1e10-4c3b-bcd7-bd67ee1b9347_MALDI1,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
